タイトル,あらすじ,ジャンル
トラヴィス・スコット: Look Mom I Can Fly,グラミー賞候補となったアルバム「アストロワールド」を制作しつつ、子育てとキャリア、逮捕騒動に向き合う等身大のトラヴィス・スコットを追うドキュメンタリー。,海外ドキュメンタリー
アメリカン・ファクトリー,オハイオ州で閉鎖されていた工場が中国企業により再開され、地域の期待が高まったのも束の間。米中文化の衝突により、再びアメリカンドリームが打ち砕かれる。,海外ドキュメンタリー
グレート・ハック: SNS史上最悪のスキャンダル,2016年の米国大統領選挙をきっかけに明らかになったSNSの闇。その象徴ともいうべきデータ会社ケンブリッジ・アナリティカと一連の事件に関与した人々を追う。,海外ドキュメンタリー
アイ・アム・マザー,人類の大量絶滅後、再増殖施設内でたった一人ドロイドの母親に育てられている少女。だが、彼女の前に別の人間が現れたとき、ずっと信じてきた世界が揺らぎ始める。,高い評価を得た映画
シャフト,無頼漢な探偵ジョン・シャフトの前に突然現れたのは、長年疎遠だった息子。力を貸して欲しいという彼は、自分とは似ても似つかない生真面目な男に育ったようで…。,アメリカ映画
私たちの地球 － メイキング,地球の果ての辺境地に足をふみ入れ、野生生物の素顔を数年にわたってとらえてきたクルーたち。その知られざる舞台(ぶたい)裏に迫る。,自然・生態系ドキュメンタリー
マーダー・ミステリー,15年越しのハネムーンが一転、小説顔負けの推理劇に。ニューヨークからやってきた一介の警官とその妻が、大富豪のヨットで起きた殺人事件の謎を追う。,コミカルなコメディ
紅海リゾート －奇跡の救出計画－,数万ものエチオピア難民を密航させるため、諜報(ちょうほう)員たちが本物の観光客を受け入れる偽のホテルを開く。実際にあった救出作戦に着想を得た物語。,海外/ヒューマンドラマ
インベーダー・ジム: フローパス計画,今度こそ地球せいふくを果たすため、再び姿を現したエイリアン、ジム。だがその行く手に、この日を待ちわびていた宿敵ディブ・メンブレーンが立ちはだかる!,アニメーション
恋の予感?! ～ホテルリノベ奮闘記～,ニュージーランドのホテルを手に入れて、サンフランシスコから単身やって来た若い女性。だが、大幅な修繕が必要と知り、現地のイケメン業者と手を組むことに。,ラブコメディ
ANIMA,レディオヘッドのトム・ヨークと天才監督ポール・トーマス・アンダーソンが実現した、音楽と映像の見事な融合。大音量で視聴すれば、その魅力を存分に楽しめる。,高い評価を得た映画
トリプル・フロンティア,麻薬王から大金を奪う強盗計画を企てた5人の元特殊部隊の兵士たち。だが、この強奪が不測の事態に襲われるサバイバルバトルに変わるとき、彼らのきずなが試される。,強盗アクション
レボリューション －米国議会に挑んだ女性たち－,巨額の富を持つ現職議員に対抗し、志固く2018年の下院議員選に出馬した女性新人候補者のうち、アレクサンドリア・オカシオ＝コルテスなど4人の戦いぶりを追う。,高い評価を得た映画
カルム・ボン・モガー: 不屈の肉体,ミスター・ユニバースに2度輝いたボディビルダーのカルム・ボン・モガー。ケガとリハビリに苦しみながらも完全復帰を目指す彼が、栄光と試練の日々を明かす。,スポーツドキュメンタリー
ザ・サイレンス 闇のハンター,人間の存在を音で感知し襲撃するどう猛な飛行生物が突如現れ、混とんとする世界。安全な場所を求めてさまよう少女とその家族は、謎のカルト集団に遭遇する。,海外映画
シー・ユー・イエスタデイ,タイムマシーンで時間をさかのぼり、警官に射殺された兄の命を救おうと奮闘する2人の天才ティーンエイジャー。だが、過去に戻る度、別の悲劇に見舞われて...。,SFヒューマンドラマ
クリエイティブ・ブレイン,神経科学者、デイヴィッド・イーグルマンが、時代の先端を切り拓く革新者たちのクリエイティブな思考に光を当て、創造力を培う画期的で冒険的なプロセスを解説。,海外ドキュメンタリー
ポーラー 狙われた暗殺者,殺し屋稼業からの引退を目前にして、穏やかな生活を送っていた凄腕暗殺者を狙う冷酷非情な若手刺客集団。強欲なボスの仕業だと知り、男は決死の反撃に出る。,犯罪アクション・アドベンチャー
セクスタプレッツ ～オレって六つ子だったの?～,38歳にして初めて自分が6つ子だったことを知った男が、その存在さえ知らなかった家族を探す旅に出る。マーロン・ウェイアンズが6つ子を演じるコメディ。,コミカルなコメディ
ザ・ダート: モトリー・クルー自伝,音楽界でスターダムにのし上がり、地獄のふちをはうようなどん底を経験したLAの4人組。ベストセラー自叙伝を基に、その怒涛(どとう)の半生を赤裸々に描き出す。,海外/ヒューマンドラマ
FYRE: 夢に終わった史上最高のパーティー,オシャレな私有島に集う豪華な音楽フェスとして派手に売り出されたFYRE(ファイア)は、ある実業家の思い上がりとずさんな運営により未曾有の惨事に終わる。,高い評価を得た映画
モカリック 修理工とボクの1日,中産階級が暮らす郊外で育った11歳の少年が、遠く離れた場所の修理店に弟子入り体験をする。学校では学べないことを経験した少年が決断した人生の選択とは。,伝記ヒューマンドラマ
ロッコーのモダンライフ 〜ハイテクな21世紀〜,20年ぶりの地球で待っていたのは、90年代とはまったくちがう21世紀の世界。変化にとまどうロッコーの新たな使命は、大好きなあの番組を復活させること!,海外LGBTQ映画
アザーフッド 私の人生,母の日なのにないがしろにされていると感じた女友達3人が、意を決して郊外の町を出発し、大都会ニューヨークで暮らす息子たちの家に突然押しかける。,アメリカ映画
ブラジル －消えゆく民主主義－,政治ドキュメンタリーとしての史実と個人的回想を織り交ぜて、2人の大統領の盛衰をたどることでブラジル政治の変遷と真の姿を丁寧に紡ぎ出す。,中南米映画
リム・オブ・ザ・ワールド,エイリアンに襲われ、キャンプ場に足止めされた4人の子供たち。出会ったばかりで互いのこともよく知らないけれど、こうなったら、力を合わせて地球を救うしかない!,SFアクション
流転の地球,太陽系を離脱するべく移動を始めた地球。今、木星との衝突の危機が迫り、地球の命運は名も無きヒーロー達に託された。人類の存亡をかけた、壮絶な戦いが始まる。,海外映画
パーフェクション,かつて将来を有望視されていた天才チェロ奏者が元恩師を訪ねるが、そこには別の才能豊かな愛弟子がいた…。二転三転する展開から目が離せない驚がくのスリラー。,海外LGBTQ映画
サバハ,新興宗教の取材を生業とする牧師が追い始めた新たな宗教団体。友人の僧侶の助けを借りてその実態に迫るうち、想像を超える深い闇と恐ろしい秘密が明らかになり…。,ミステリー
いつかはマイ・ベイビー,幼なじみが15年ぶりに再会し、焼けぼっくいに火がついても、今や有名シェフのサシャと実家暮らしで売れないミュージシャンのマーカスに、明るい未来はあるの?,ラブコメディ
密かな企み,何者かに襲われ大怪我を負った後、記憶を失ったまま目を覚ましたジェニファー。傍らには献身的な夫がいるものの、彼女を狙う危険が去ったわけではなかった…。,マインドゲームスリラー
ローリング・サンダー・レヴュー: マーティン・スコセッシが描くボブ・ディラン伝説,1975年に行ったボブ・ディランのツアーを過渡期にあった当時の米国の様子とともに振り返り、その現実と幻想をマーティン・スコセッシ監督が神秘的に紡ぎ出す。,海外ドキュメンタリー
ユピテルとイオ,滅びゆく地球に残り、生存へのわずかな希望を模索し続ける若き女性科学者。だが宇宙行きシャトルの発射場へと急ぐ男と出会ったことで、その決意が揺らぎ始める。,SFヒューマンドラマ
ロマンティックじゃない?,恋愛に夢も希望も持てない建築家が目覚めると、そこは大嫌いなラブコメの世界。一刻も早く元の日常に戻るため、お決まりのハッピーエンドを目指すが...。,ラブコメディ
ザ・テキサス・レンジャーズ,冷酷な銀行強盗ボニーとクライド逮捕に駆り出された2人の元テキサス・レンジャーが、経験に裏打ちされた直感を頼りに悪党を追い詰める。史実に基づく犯罪ドラマ。,海外/ヒューマンドラマ
HOMECOMING: ビヨンセ・ライブ作品,コーチェラ・フェスティバル2018でビヨンセが魅せたパフォーマンス。ショーとしてのコンセプトから文化的メッセージまで、そのすべてに熱い想いが込められている。,海外ドキュメンタリー
ポイント・ブランク －この愛のために撃て－,救急科勤務の看護師が、誘拐された身重の妻を救うため殺人容疑者と手を組むことに。汚職警官たちを敵に回し、愛のため、迫りくる時間との戦いに挑む。,犯罪アクション・アドベンチャー
カトリックスクールの怪異,ある生徒の自殺に揺れる女子修道院で、事件の真相を追う指導員。自らの霊能力を通して霊と交信しながら、院内にはびこる虐待の証拠をつかもうとするが...。,超常現象ホラー
ネイビーシールズ vs エイリアン,研究所で科学者達が姿を消す不可解な事件が発生し、特殊部隊は極秘に調査を開始。研究所で部隊を待っていたのは、地球に存在するはずのない未知の生物だった。,SFアクション
ビート －心を解き放て－,シカゴのサウスサイド。ヒップホップの才能を秘めたオーガスト・モンローは、心の病に苦しんでいた。そんな彼の閉ざされた世界を、型破りな男がこじ開けてゆく。,インディーズ系ヒューマンドラマ
Mayday Life,"スーパーバンドMaydayのワールドツアー""LIFE""。映像演出でスーパーヒーローになったメンバー5人が、世界を救うべく音に敏感な怪獣に立ち向かう!",台湾映画
ステラ －真昼の誘拐－,白昼堂々街中でさらい、身代金を要求。用意周到な誘拐計画を立てた覆面2人組を相手に、猿ぐつわをはめられ拘束された人質が、逃げ出す隙を狙って猛反撃を仕掛ける。,海外/ヒューマンドラマ
クロース: 孤独のボディーガード,百戦錬磨の女ボディーガードが受けた依頼は、大富豪の遺産相続人である令嬢を守ること。恐怖に慄く彼女に反撃術を教え、誘拐団相手に2人で決死の戦いに挑む。,海外/アクション・アドベンチャー
スーパーモンスターズ: 新学期スタート!,ヴィーダがピッチフォーク・パインズにお引っこし! 楽しい場所につれて行ったり、新しい学校でこまらないように助けたり、スーパーモンスターズが大かつやく。,リトルキッズ
グラス・イズ・グリーナー: 大麻が見たアメリカ,ジャズやヒップホップを発展させ、人種的不平等を礎とした麻薬戦争に火を付けた大麻(マリファナ)。その大麻をめぐる米国の紆余曲折を専門家たちが振り返る。,海外ドキュメンタリー
リマスター: ロバート・ジョンソン,アメリカ音楽史に大きな影響を与えた伝説的ブルース歌手。いまだ謎多きその短い生涯を、家族、評論家、そして著名なミュージシャンたちの証言を基に振り返る。,海外ドキュメンタリー
スパイク・ガールズ,深い森の中で道に迷った女子バレー部の一行は、異常なハンターたちに狙われる羽目に。追い詰められた体育会系女子は、鍛え上げた根性で生き残る道を模索するが…。,ダークコメディ
パーフェクト・デート,大学資金を稼ぐため、理想の彼氏との最高のデートを提供するアプリを作った男子高校生。でもただ一つ計画外だったのは、本当の恋に落ちてしまったこと。,ラブコメディ
ああ、ラモーナ!,オタク高校生のアンドレは学校一クールなラモーナに夢中だが、適当にあしらわれてばかり…。そんな時、休暇先のホテルで受付をしていた美しいアネモナに出会う。,コミカルなコメディ
アフター,将来をしっかり見据えて大学に入学した真面目な学生テッサ。だが、ミステリアスで危険な香りのするハーディンに出会ったことで、彼女の人生は大きく変わっていく。,青春・学園
ベルベット・バズソー: 血塗られたギャラリー,辛口評論家、冷酷な画商、野心家の助手。急逝した無名画家が遺した絵画を利用して自己の利益を得ようと目論むすべての人間に、悲劇的な結末が待っていた...。,マインドゲームスリラー
マリブ・レスキューチーム,天国のようなビーチで待っていたのは、地獄のような特訓と個性豊かな仲間たち。自由を愛するタイラーは、荒波を乗り越えて立派なライフガードになれるのか?!,キッズ・ファミリー映画
ブレネー・ブラウン: 勇気を出して,不安やコンプレックス、リスクの多い世の中でも、居心地のいい場所から飛び出して勇敢な生き方を選ぶことの大切さを、ブレネー・ブラウンが楽しく優しく説く。,アメリカ映画
アントワーヌ・グリーズマン: レジェンドの誕生,小柄ながら強靭(きょうじん)な精神力で、超一流サッカー選手として世界に名をはせ、フランスのワールドカップ優勝に貢献したグリーズマンの素顔に迫る。,スポーツドキュメンタリー
ハイ・フォン: ママは元ギャング,村で人身売買集団に娘を誘拐されたハイ・フォンが、かつて荒んだ生活を送っていたサイゴンへと舞い戻る。娘を襲った奴らを倒すまで戦い続けると心に誓って。,武術映画
2つのキッチンの物語,メキシコでコントラマールを経営するガブリエラ・カマラが、サンフランシスコに姉妹店カラをオープン。2店に共通しているのは、極上の料理と厨房(ちゅうぼう)文化。,中南米映画
スーパーモンスターズ: 春にカンパイ!,春のはじまりをいわうため、スーパーモンスターズが集まってみんなで夜のピクニック。かわいいペットたちもあらわれて、とっておきの時間が始まるよ!,動物物語
ハイ・フライング・バード －目指せバスケの頂点－,バスケ選手の代理人が、NBAのロックアウトにより窮地に陥った担当新人選手と自身のキャリアを救うため、権力構造を揺るがす大胆なアイデアを思いつく。,海外/ヒューマンドラマ
ワイン・カントリー,ワインを堪能しながら旧友たちと誕生日を祝うナパ旅行。だが、楽しいはずの週末でさえ、日頃の不安や悩みから逃れられない女たちの間に気まずい空気が漂い始める。,海外映画
ザ・ルースレス ～とあるマフィアの転落人生～,イタリア南部を拠点とするマフィアが台頭した80年代。一介の不良少年は、野心あふれる冷酷な男へと姿を変えていく。その両手を邪魔者たちの血で染めながら。,本が原作のヒューマンドラマ
サムワン・グレート ～輝く人に～,失恋の悲しみと新天地への期待で心がごちゃまぜ状態な音楽ライターのジェニー。最後に親友2人と思い切りハジけようと街に繰り出し、泣いて笑って大騒ぎ!,ラブコメディ
コカインを探せ!,ダッフルバッグ入りのコカインがカリブのどこかに眠っているという都市伝説を信じて、突飛な計画を立てた変わり者たちを追うコミカルなドキュメンタリー。,実際に起きた犯罪事件を描くドキュメンタリー
ザ・ハード・ウェイ,伝説的な元兵士のもとに届いた弟の訃報。ルーマニアで謎の凶悪犯を追っていた弟のあだを討つべく、男は仲間2人と共に現地に向かう。そして壮絶な報復劇が始まる。,犯罪アクション・アドベンチャー
オプラ・ウィンフリーPresents: 今、ボクらを見る目,"オプラ・ウィンフリーが、かつて""セントラルパーク・ファイブ""と呼ばれた5人の男性にインタビュー。さらに、出演者や製作者が「ボクらを見る目」への想いを語る。",海外ドキュメンタリー
ラスト・サマー ～この夏の先に～,シカゴで高校を卒業したばかりの若者たちが、大学が始まるまでの短い夏を楽しみながら、将来を考え夢を追い、恋や自分探しに悩む姿を描く青春群像劇。,ティーン向け恋愛・ラブストーリー
MARIA/マリア,女は殺し屋の過去を捨て、普通の生活を手に入れたはずだった。だが、力と血に飢えたギャングが愛する家族に魔の手を伸ばす時、彼女は殺しの本能を呼び起こす。,犯罪アクション・アドベンチャー
最後の一息,アンビリカルから切断され、北海の海底に取り残されたプロの潜水士。酸素は残りわずか。救出の希望の灯が消え入る中、残された道は孤立無援のサバイバルのみ。,海外ドキュメンタリー
エリサ&マルセラ,20世紀初頭、禁断の愛で結ばれたエリサとマルセラは、夫婦として共に人生を歩むため、大きな決断をするが...。スペイン初の同性婚を果たした実在の夫婦の物語。,海外LGBTQ映画
レアと私,レアとカミーユは親友同士。レアは難病を抱えている。治療法を求めて中南米への旅に出た2人は、代替療法やヒーリングという概念について思考を重ねていく。,アメリカ映画
バック・トゥ・スクール ～人生の逆転劇!?～,大きな成功を収めた親友コンビがひさびさに帰郷。バカにした奴らを見返すため、そして昔好きだったあの子に再会するため、中学の同窓会に乗りこむが...。,コミカルなコメディ
セレニティー: 平穏の海,過去を捨て海釣り船の船長をしている男が、突然現れた元妻に、暴力を振るう現夫を殺してほしいと頼まれる。この依頼、受けるべきか断るべきか...。,海外/サスペンス
ユニコーン・ストア,アートの道をあきらめ、平凡な仕事に落ち着いた元画家の卵。そんな彼女に、昔からの夢をかなえるチャンスが訪れる。それはなんと、ユニコーンの世話係になること!,インディーズ系ヒューマンドラマ
パドルトン,末期がん宣告を受け、症状が悪化する前に自分で人生を終わらせようと決めた中年男マイケルは、親しくしている隣人アンディーにその手助けを依頼する。,インディーズ系ヒューマンドラマ
あるスパイの転落死,エジプトの億万長者、アシュラフ・マルワンのもうひとつの顔は、イスラエルのスパイだった。その驚くべき生涯と謎に包まれた死を検証するドキュメンタリー。,海外ドキュメンタリー
ケヴィン・ハートのアフリカ系アメリカ人の歴史,ケヴィン・ハートが知られざるアフリカ系アメリカ人の英雄たちに光を当てて、その功績を振り返る。おもしろくてためになるコメディ・スペシャル。,海外映画
デュオ,エキセントリックな悪党に車を盗まれた女性は、謎の詐欺師の力を借りて車を探し始める。その過程で、有能なのに自信を持てなかった彼女が、少しずつ成長していく。,インド映画
パチャママ,村の尊い宝物をとりもどすため、シャーマンになりたいテプルパイ少年と仲間たちが旅に出る。いざ、アンデスの山をこえ、インカの大地をかけめぐれ!,キッズ・ファミリー映画
呪いのキス －哀しき少女の恋－,少女の内側にあるのは、2人の幼なじみの間で揺れる乙女心。そして、生けるモノをむさぼり食う血に飢えた悪魔…。夜ごと姿を現す悪魔が、少女を苦しめてゆく。,超常現象ホラー
パリ、混沌と未来,"高まる社会的緊張に揺れるパリの街角。運命の愛に揺れるひとりの女性が迷い込んだのは、夢、記憶、そしていくつもの""もしも""が交錯するゆらめきの世界。",インディーズ系ヒューマンドラマ
ブラザーズ －リングにかけた夢－,施設で育ち、貧しい生活の中、ボクシングジムで腕を磨いた兄弟。大人になり、それぞれトップレベルの武術家に成長した2人が、大切なもののためにリングに立つ。,海外/アクション・アドベンチャー
眺望良好,慌ただしい一家の心の安らぎは、香港の美しい景色。ある日、この景色が大きな看板に遮られてしまった。忌々しい看板を撤去すべく、一家はあの手この手で大奮闘!,ダークコメディ
フランケンシュタインの怪物の怪物,役者一家に生まれた俳優デヴィッド・ハーバーが、亡き父が試みて失敗した名作文学のテレビ演劇の映像を発見。その真意を探るうち、衝撃的な家族の秘密にたどり着く。,ダークコメディ
無人島につれていくなら誰にする？,一緒に過ごす最後の夜に集まった4人の男女。だが、ルームメイトとして育んできた8年間の友情を祝う楽しいはずの時間が、驚きの秘密に揺れる衝撃の夜となる。,スペイン映画
私は大丈夫,新しい上司の義理の弟にレイプされても、何事もなかったかのように前に進もうと決心した女性。だが、その事件は、思う以上に大きな傷を彼女の心と体に残していた。,海外/ヒューマンドラマ
ザ・ロンリー・アイランド: バッシュ・ブラザーズを歌ってみた!,ザ・ロンリー・アイランドがネタにしたのは、80年代に活躍したホセ・カンセコとマーク・マグワイアの大砲コンビ。愛と風刺をこめた音楽パロディーをご覧あれ。,海外映画
ダーティ・ジョン －汚れた真実－,元妻、元彼女、刑事らが語るジョン・ミーハンの素顔と生き様。それは、長年にわたり多くの人間を食い物にしてきた凶悪犯罪者の恐るべき軌跡。,実際に起きた犯罪事件を描くドキュメンタリー
僕の家族のすべて,アメリカに住み代理出産で子をもうけたゲイの映画監督。その新しい家族の形を、昔ながらの伝統にこだわる彼の中国人家族が戸惑いながらも受け入れていく過程を追う。,海外LGBTQ映画
眠りに生きる子供たち,"トラウマを抱えたままスウェーデンに避難した難民の子供たちは、先の見えない不安から逃れるために、こん睡に近い状態に陥る""あきらめ症候群""にかかるという。",海外ドキュメンタリー
ブラック・ゴッドファーザー: クラレンス・アヴァントの軌跡,数々の著名人から信頼される真の指導者であり、音楽や映画・テレビ、政治などさまざまな分野における陰の立役者でもあるクラレンス・アヴァントの人生をたどる。,海外ドキュメンタリー
リマスター: マイアミ・ショウバンド,1975年、アイルランドで人気だったマイアミ・ショウバンドのメンバー3人が殺害され、国中が悲しみに包まれた。そして今、元メンバーが粘り強く真実を追う。,海外ドキュメンタリー
リマスター: サム・クック,ソウル・シンガーとして人気の絶頂にあったサム・クックは、33歳という若さで命を落とす。公民権運動への積極的な関与が、早すぎる死を招いたという説もある。,実際に起きた犯罪事件を描くドキュメンタリー
パルチス: ザ・ドキュメンタリー,スペインのレコード会社が仕掛けた80年代のキッズグループ、パルチス。歌も映画も大ヒットだった当時の熱狂や、空前絶後の人気を誇った子供達の光と影に迫る。,スペイン映画
ペッタ!,学生寮の新管理人として着任した、人当たりの良い男性。寮内の治安を維持すべく奮闘する彼だが、その過去を知る宿敵が現れ、訳ありの汚れた過去が明かされる。,ダークコメディ
ウォーク。ライド。ロデオ。,交通事故に遭い下半身不随になっても大好きなロデオを諦めず、アンバリー・スナイダーは再び愛馬にまたがり、優勝を目指して競技に挑む。実話に基づく物語。,海外/ヒューマンドラマ
ラストツアー,現役中は芸能マネージャーとして腕を鳴らしたアルが老人ホームで再会したのは、昔のクライアントだったバディ。50年ぶりの再会が、かつての夢に再び火をつける。,海外/ヒューマンドラマ
